"dt_sin_pri","n.casos"
2020-01-02,1
2020-01-04,1
2020-01-07,1
2020-01-08,1
2020-01-10,1
2020-01-14,1
2020-01-16,1
2020-01-19,1
2020-01-21,1
2020-01-26,1
2020-01-30,2
2020-02-01,2
2020-02-04,2
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-13,1
2020-02-14,2
2020-02-18,3
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-25,2
2020-02-29,2
2020-03-01,1
2020-03-03,2
2020-03-05,2
2020-03-06,1
2020-03-07,2
2020-03-09,1
2020-03-12,1
2020-03-13,3
2020-03-15,1
2020-03-20,2
2020-03-21,1
2020-03-22,3
2020-03-24,3
2020-03-25,1
2020-03-27,2
2020-04-01,1
2020-04-02,1
2020-04-03,4
2020-04-04,3
2020-04-05,2
2020-04-06,1
2020-04-07,2
2020-04-08,1
2020-04-09,3
2020-04-11,1
2020-04-12,1
2020-04-16,1
2020-04-20,1
2020-04-23,1
2020-04-24,2
