"dt_notific","n.notific"
2020-01-08,1
2020-01-12,1
2020-01-13,1
2020-01-14,1
2020-01-16,1
2020-01-18,1
2020-01-21,1
2020-01-24,1
2020-01-28,1
2020-01-30,2
2020-02-05,1
2020-02-07,1
2020-02-10,2
2020-02-12,1
2020-02-13,1
2020-02-14,2
2020-02-18,1
2020-02-19,1
2020-02-20,3
2020-02-22,1
2020-02-26,1
2020-02-27,2
2020-02-28,1
2020-03-02,1
2020-03-06,2
2020-03-07,2
2020-03-10,1
2020-03-11,2
2020-03-12,1
2020-03-13,1
2020-03-16,2
2020-03-18,1
2020-03-19,2
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-30,1
2020-04-01,3
2020-04-02,2
2020-04-04,1
2020-04-05,1
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,4
2020-04-11,5
2020-04-12,1
2020-04-13,1
2020-04-15,4
2020-04-17,1
2020-04-21,2
2020-04-24,1
2020-04-28,1
2020-04-29,1
