"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-14,NA
0,0,1,2020-03-15,1
0,0,1,2020-03-16,NA
0,0,1,2020-03-17,NA
0,0,1,2020-03-18,NA
2,2,3,2020-03-19,NA
1,1,2,2020-03-20,2
3,3,4,2020-03-21,1
0,0,2,2020-03-22,3
3,3,5,2020-03-23,NA
1,1,2,2020-03-24,3
0,0,2,2020-03-25,1
2,2,3,2020-03-26,NA
0,0,1,2020-03-27,2
0,0,2,2020-03-28,NA
0,0,2,2020-03-29,NA
0,0,2,2020-03-30,NA
1,1,3,2020-03-31,NA
1,1,4,2020-04-01,1
4,4,7,2020-04-02,1
4,3,7,2020-04-03,4
3,2,6,2020-04-04,3
2,1,5,2020-04-05,2
3,2,6,2020-04-06,1
2,1,5,2020-04-07,2
4,3,7,2020-04-08,1
1,0,4,2020-04-09,3
2,1,4,2020-04-10,NA
2,1,4,2020-04-11,1
0,0,3,2020-04-12,1
0,0,3,2020-04-13,NA
0,0,3,2020-04-14,NA
2,1,4,2020-04-15,NA
1,0,3,2020-04-16,1
1,0,4,2020-04-17,NA
1,0,4,2020-04-18,NA
2,1,7,2020-04-19,NA
1,0,6,2020-04-20,1
1,0,7,2020-04-21,NA
1,0,8,2020-04-22,NA
