"dt_sin_pri","n.casos"
2020-01-10,1
2020-01-11,1
2020-01-12,2
2020-01-29,1
2020-01-30,1
2020-02-01,1
2020-02-02,1
2020-02-05,1
2020-02-09,1
2020-02-15,1
2020-02-28,1
2020-03-05,1
2020-03-06,1
2020-03-11,2
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,6
2020-03-17,5
2020-03-18,5
2020-03-19,2
2020-03-20,9
2020-03-21,1
2020-03-22,3
2020-03-23,2
2020-03-24,4
2020-03-25,3
2020-03-26,3
2020-03-27,1
2020-03-28,4
2020-03-29,3
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,10
2020-04-04,3
2020-04-05,7
2020-04-06,8
2020-04-07,5
2020-04-08,9
2020-04-09,12
2020-04-10,8
2020-04-11,11
2020-04-12,8
2020-04-13,12
2020-04-14,11
2020-04-15,14
2020-04-16,8
2020-04-17,12
2020-04-18,9
2020-04-19,11
2020-04-20,15
2020-04-21,10
2020-04-22,7
2020-04-23,2
2020-04-24,5
2020-04-25,4
2020-04-26,3
2020-04-28,6
2020-04-29,5
2020-04-30,2
2020-05-01,1
2020-05-02,1
