"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-20,NA
0,0,0,2020-03-21,NA
0,0,0,2020-03-22,NA
0,0,0,2020-03-23,NA
2,2,2,2020-03-24,NA
0,0,0,2020-03-25,NA
0,0,0,2020-03-26,1
1,1,1,2020-03-27,NA
0,0,0,2020-03-28,NA
2,2,2,2020-03-29,NA
0,0,0,2020-03-30,2
0,0,0,2020-03-31,NA
0,0,1,2020-04-01,NA
0,0,1,2020-04-02,1
2,2,4,2020-04-03,NA
3,3,5,2020-04-04,2
1,1,3,2020-04-05,NA
1,1,3,2020-04-06,NA
2,2,4,2020-04-07,NA
0,0,2,2020-04-08,NA
2,2,4,2020-04-09,2
3,3,5,2020-04-10,3
1,1,3,2020-04-11,1
4,4,7,2020-04-12,1
1,1,4,2020-04-13,2
3,3,6,2020-04-14,NA
1,1,4,2020-04-15,2
3,3,6,2020-04-16,3
0,0,2,2020-04-17,1
2,2,4,2020-04-18,4
0,0,2,2020-04-19,1
0,0,2,2020-04-20,3
0,0,2,2020-04-21,1
0,0,2,2020-04-22,3
0,0,2,2020-04-23,NA
0,0,2,2020-04-24,2
0,0,2,2020-04-25,NA
0,0,3,2020-04-26,NA
0,0,3,2020-04-27,NA
0,0,3,2020-04-28,NA
