"estimate","lower","upper","onset_date","n.reported"
3,3,3,2020-03-22,3
2,2,3,2020-03-23,2
4,4,5,2020-03-24,4
3,3,5,2020-03-25,3
3,3,6,2020-03-26,3
1,1,4,2020-03-27,1
4,4,7,2020-03-28,4
3,3,6,2020-03-29,3
1,1,4,2020-03-30,1
2,1,4,2020-03-31,1
2,1,5,2020-04-01,1
2,1,6,2020-04-02,1
12,10,18,2020-04-03,10
6,3,13,2020-04-04,3
11,7,19,2020-04-05,7
14,9,23,2020-04-06,8
11,6,21,2020-04-07,5
18,11,29,2020-04-08,9
23,15,37,2020-04-09,12
19,11,33,2020-04-10,8
24,15,39,2020-04-11,11
21,12,36,2020-04-12,8
27,18,44,2020-04-13,12
29,18,47,2020-04-14,11
36,23,57,2020-04-15,14
30,17,52,2020-04-16,8
40,25,67,2020-04-17,11
42,24,74,2020-04-18,9
55,33,95,2020-04-19,11
71,44,124.025,2020-04-20,15
62,36,110,2020-04-21,10
50,27,93,2020-04-22,6
36,15.9750000000002,72,2020-04-23,NA
47,24,89.0249999999996,2020-04-24,5
46,22,91,2020-04-25,3
46,21,94,2020-04-26,2
46,18,100,2020-04-27,NA
58,24,149.025,2020-04-28,3
59,19,172,2020-04-29,1
59,16,205,2020-04-30,NA
