"dt_evoluca","n.casos"
2020-01-03,1
2020-01-05,1
2020-01-10,2
2020-01-15,1
2020-01-16,1
2020-01-23,2
2020-01-25,2
2020-01-30,1
2020-02-01,1
2020-02-02,1
2020-02-07,1
2020-02-09,1
2020-02-11,1
2020-02-14,1
2020-02-19,1
2020-02-21,2
2020-02-26,1
2020-02-29,1
2020-03-03,1
2020-03-04,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-16,2
2020-03-19,3
2020-03-20,1
2020-03-22,2
2020-03-24,2
2020-03-27,2
2020-03-28,1
2020-03-29,1
2020-03-30,2
2020-03-31,4
2020-04-01,2
2020-04-02,7
2020-04-03,10
2020-04-04,5
2020-04-05,13
2020-04-06,16
2020-04-07,20
2020-04-08,19
2020-04-09,24
2020-04-10,20
2020-04-11,28
2020-04-12,29
2020-04-13,30
2020-04-14,47
2020-04-15,46
2020-04-16,52
2020-04-17,49
2020-04-18,57
2020-04-19,56
2020-04-20,59
2020-04-21,48
2020-04-22,50
2020-04-23,41
2020-04-24,8
2020-04-25,16
2020-04-26,21
2020-04-27,23
2020-04-28,23
2020-04-29,18
2020-04-30,9
2020-05-01,13
2020-05-02,7
2020-05-03,5
