"dt_notific","n.notific"
2020-02-28,1
2020-03-01,1
2020-03-16,1
2020-03-19,1
2020-03-20,2
2020-03-21,1
2020-03-22,2
2020-03-23,1
2020-03-24,2
2020-03-25,5
2020-03-26,13
2020-03-27,13
2020-03-28,7
2020-03-29,4
2020-03-30,13
2020-03-31,25
2020-04-01,45
2020-04-02,36
2020-04-03,26
2020-04-04,21
2020-04-05,31
2020-04-06,38
2020-04-07,29
2020-04-08,25
2020-04-09,42
2020-04-10,40
2020-04-11,25
2020-04-12,38
2020-04-13,54
2020-04-14,43
2020-04-15,31
2020-04-16,24
2020-04-17,28
2020-04-18,19
2020-04-19,16
2020-04-20,28
2020-04-21,18
2020-04-22,13
2020-04-23,20
2020-04-24,10
2020-04-25,4
2020-04-26,3
2020-04-27,4
2020-04-29,5
2020-04-30,1
2020-05-01,2
2020-05-03,1
2020-05-04,1
