"dt_notific","n.notific"
2020-01-03,2
2020-01-08,2
2020-01-09,1
2020-01-13,1
2020-01-15,1
2020-01-16,1
2020-01-20,1
2020-01-21,3
2020-01-24,1
2020-01-30,2
2020-01-31,1
2020-02-04,1
2020-02-06,2
2020-02-12,1
2020-02-13,1
2020-02-18,2
2020-02-19,2
2020-02-20,1
2020-02-21,1
2020-02-25,1
2020-02-28,1
2020-03-01,1
2020-03-04,2
2020-03-10,1
2020-03-13,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,2
2020-03-20,2
2020-03-22,1
2020-03-23,2
2020-03-24,1
2020-03-25,6
2020-03-26,7
2020-03-27,5
2020-03-28,5
2020-03-29,5
2020-03-30,7
2020-03-31,10
2020-04-01,16
2020-04-02,18
2020-04-03,18
2020-04-04,15
2020-04-05,17
2020-04-06,19
2020-04-07,24
2020-04-08,18
2020-04-09,35
2020-04-10,44
2020-04-11,31
2020-04-12,38
2020-04-13,38
2020-04-14,46
2020-04-15,37
2020-04-16,38
2020-04-17,47
2020-04-18,44
2020-04-19,44
2020-04-20,46
2020-04-21,42
2020-04-22,32
2020-04-23,28
2020-04-24,29
2020-04-25,14
2020-04-26,7
2020-04-27,12
2020-04-28,12
2020-04-29,7
2020-04-30,4
2020-05-01,3
2020-05-02,2
2020-05-03,2
2020-05-04,1
