"estimate","lower","upper","onset_date","n.reported"
3,3,3,2020-03-17,NA
4,4,5,2020-03-18,3
19,19,21,2020-03-19,4
6,6,8,2020-03-20,19
6,6,8,2020-03-21,6
12,12,15,2020-03-22,6
18,17,21,2020-03-23,12
28,27,32,2020-03-24,17
23,22,27.0249999999996,2020-03-25,27
18,17,23,2020-03-26,22
25,23,30,2020-03-27,17
36,34,42,2020-03-28,23
21,19,26,2020-03-29,34
35,32,42,2020-03-30,19
48,44,56,2020-03-31,32
30,26,37,2020-04-01,43
42,37,49,2020-04-02,25
34,30,42,2020-04-03,36
26,22,33,2020-04-04,29
31,27,38,2020-04-05,21
31,26,39,2020-04-06,25
42,36,51,2020-04-07,24
32,26,42,2020-04-08,32
40,32,50,2020-04-09,22
21,15,30,2020-04-10,27
29,22,39,2020-04-11,11
18,12,27,2020-04-12,17
18,12,28,2020-04-13,8
17,11,28,2020-04-14,8
12,6,22,2020-04-15,7
13,6,23,2020-04-16,3
15,8,27,2020-04-17,3
8,2,19,2020-04-18,5
7,1,19,2020-04-19,NA
7,1,20,2020-04-20,NA
7,1,21,2020-04-21,NA
7,1,23,2020-04-22,NA
7,1,27,2020-04-23,NA
7,0,30,2020-04-24,NA
7,0,33,2020-04-25,NA
