"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,NA
0,0,0,2020-03-25,NA
0,0,0,2020-03-26,NA
2,2,2,2020-03-27,1
0,0,0,2020-03-28,NA
1,1,1,2020-03-29,NA
4,4,4,2020-03-30,2
8,8,8,2020-03-31,NA
3,3,3,2020-04-01,1
12,12,12,2020-04-02,4
13,13,13,2020-04-03,8
7,7,7,2020-04-04,3
15,15,15,2020-04-05,12
14,14,14,2020-04-06,13
12,12,12,2020-04-07,7
15,15,16,2020-04-08,15
21,21,22,2020-04-09,14
21,21,22,2020-04-10,12
30,29,32,2020-04-11,15
30,29,33,2020-04-12,21
24,23,27,2020-04-13,21
25,24,28,2020-04-14,29
24,23,27,2020-04-15,29
19,18,22,2020-04-16,23
28,26,32,2020-04-17,24
21,19,25,2020-04-18,23
21,18,25,2020-04-19,18
21,18,25,2020-04-20,26
4,2,7,2020-04-21,19
11,9,15,2020-04-22,18
5,3,9,2020-04-23,18
10,7,14,2020-04-24,2
10,7,16,2020-04-25,9
15,11,22,2020-04-26,3
10,6,16,2020-04-27,7
2,0,7,2020-04-28,7
3,1,7,2020-04-29,10
1,0,6,2020-04-30,6
1,0,6,2020-05-01,NA
2,0,8,2020-05-02,1
