"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-24,2
0,0,0,2020-03-25,NA
0,0,0,2020-03-26,NA
2,2,2,2020-03-27,2
1,1,1,2020-03-28,1
1,1,1,2020-03-29,1
2,2,2,2020-03-30,2
4,4,4,2020-03-31,4
2,2,2,2020-04-01,2
7,7,7,2020-04-02,7
10,10,10,2020-04-03,10
5,5,5,2020-04-04,5
13,13,15,2020-04-05,13
16,16,18,2020-04-06,16
20,20,23,2020-04-07,20
17,17,21,2020-04-08,17
24,24,29,2020-04-09,24
21,20,25,2020-04-10,20
29,27,35,2020-04-11,27
29,27,35,2020-04-12,27
31,28,38,2020-04-13,28
51,47,60,2020-04-14,46
50,45,60,2020-04-15,44
54,49,64,2020-04-16,47
54,48,64,2020-04-17,45
60,53,71,2020-04-18,49
59,50,72,2020-04-19,44
64,55,79,2020-04-20,46
69,58,85,2020-04-21,47
72,60,88.0249999999996,2020-04-22,47
56,46,71,2020-04-23,35
19,11,29,2020-04-24,7
29,21,41,2020-04-25,15
31,21,44,2020-04-26,13
45,32,62,2020-04-27,18
52,37,73,2020-04-28,19
51,35,74,2020-04-29,16
38,23,60,2020-04-30,8
33,18,56,2020-05-01,5
31,13,62,2020-05-02,2
