"estimate","lower","upper","onset_date","n.reported"
19,19,19,2020-03-22,19
32,32,34,2020-03-23,32
35,34,37,2020-03-24,34
52,51,55,2020-03-25,51
41,40,45,2020-03-26,40
45,43,50,2020-03-27,43
57,54,62,2020-03-28,54
61,57,67,2020-03-29,57
57,54,63,2020-03-30,53
65,60,71,2020-03-31,59
120,114,129,2020-04-01,111
73,67,81,2020-04-02,64
107,100,117,2020-04-03,94
105,97,116,2020-04-04,90
108,100,120,2020-04-05,90
128,117,141,2020-04-06,104
121,109,134,2020-04-07,94
134,121,150,2020-04-08,101
146,131,163,2020-04-09,105
216,197,238,2020-04-10,157
160,143,180,2020-04-11,107
171,152,193,2020-04-12,110
153,134,176,2020-04-13,89
175,153,200,2020-04-14,98
181,159,209,2020-04-15,95
178,153,207,2020-04-16,83
179,152,210,2020-04-17,76
180,151,215,2020-04-18,68
193,160.975,233,2020-04-19,64
243,203,291,2020-04-20,79
191,153,237,2020-04-21,44
199,157,249,2020-04-22,38
230,178,292,2020-04-23,35
271,208,353,2020-04-24,34
240,174,323,2020-04-25,17
241,163,333,2020-04-26,8
314,213,454,2020-04-27,13
353,223,559,2020-04-28,6
406,233,736.025,2020-04-29,1
521,264.975,1207,2020-04-30,7
