"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-19,NA
0,0,0,2020-03-20,2
1,1,1,2020-03-21,NA
1,1,2,2020-03-22,1
1,1,2,2020-03-23,1
1,1,2,2020-03-24,1
2,2,3,2020-03-25,1
4,4,6,2020-03-26,2
2,2,4,2020-03-27,4
3,3,5,2020-03-28,2
0,0,1,2020-03-29,3
1,1,2,2020-03-30,NA
1,1,2,2020-03-31,1
1,1,2,2020-04-01,1
0,0,1,2020-04-02,1
1,1,2,2020-04-03,NA
0,0,1,2020-04-04,1
2,2,3,2020-04-05,NA
0,0,1,2020-04-06,2
0,0,2,2020-04-07,NA
1,1,3,2020-04-08,NA
1,1,3,2020-04-09,1
1,1,3,2020-04-10,1
0,0,2,2020-04-11,1
0,0,3,2020-04-12,NA
0,0,3,2020-04-13,NA
1,0,3,2020-04-14,NA
1,0,4,2020-04-15,NA
2,1,6,2020-04-16,NA
1,0,6,2020-04-17,1
3,2,11,2020-04-18,NA
3,2,13,2020-04-19,2
1,0,10,2020-04-20,2
1,0,10,2020-04-21,NA
1,0,10,2020-04-22,NA
1,0,10,2020-04-23,NA
1,0,10,2020-04-24,NA
1,0,11,2020-04-25,NA
1,0,12,2020-04-26,NA
1,0,14,2020-04-27,NA
