"dt_evoluca","n.casos"
2020-01-14,2
2020-01-16,1
2020-01-19,1
2020-01-21,1
2020-01-23,1
2020-02-09,1
2020-02-15,1
2020-02-25,1
2020-02-28,1
2020-03-05,2
2020-03-06,3
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-20,2
2020-03-21,2
2020-03-22,4
2020-03-23,2
2020-03-24,2
2020-03-25,3
2020-03-26,3
2020-03-27,2
2020-03-28,3
2020-03-29,6
2020-03-30,5
2020-03-31,3
2020-04-01,4
2020-04-02,5
2020-04-03,6
2020-04-04,5
2020-04-05,5
2020-04-06,9
2020-04-07,10
2020-04-08,7
2020-04-09,6
2020-04-10,8
2020-04-11,7
2020-04-12,7
2020-04-13,6
2020-04-14,4
2020-04-15,6
2020-04-16,9
2020-04-17,10
2020-04-18,9
2020-04-19,10
2020-04-20,12
2020-04-21,9
2020-04-22,11
2020-04-23,10
2020-04-24,4
2020-04-25,17
2020-04-26,6
2020-04-27,6
2020-04-28,9
2020-04-29,8
2020-04-30,8
2020-05-01,2
2020-05-02,9
2020-05-03,4
2020-05-04,1
