"dt_sin_pri","n.casos"
2020-02-11,1
2020-03-09,2
2020-03-10,2
2020-03-11,1
2020-03-13,1
2020-03-14,1
2020-03-15,3
2020-03-16,2
2020-03-18,2
2020-03-19,5
2020-03-20,6
2020-03-21,3
2020-03-22,6
2020-03-23,3
2020-03-24,6
2020-03-25,1
2020-03-26,3
2020-03-27,4
2020-03-28,5
2020-03-29,1
2020-03-30,5
2020-03-31,4
2020-04-01,3
2020-04-02,4
2020-04-03,2
2020-04-04,11
2020-04-05,8
2020-04-06,5
2020-04-07,6
2020-04-08,5
2020-04-09,11
2020-04-10,18
2020-04-11,13
2020-04-12,10
2020-04-13,14
2020-04-14,9
2020-04-15,14
2020-04-16,20
2020-04-17,11
2020-04-18,16
2020-04-19,6
2020-04-20,5
2020-04-21,8
2020-04-22,2
2020-04-23,7
2020-04-24,5
2020-04-25,3
2020-04-26,2
2020-04-27,1
2020-04-28,1
2020-04-29,1
