"dt_sin_pri","n.casos"
2019-12-29,2
2019-12-31,1
2020-01-01,3
2020-01-02,4
2020-01-03,1
2020-01-04,2
2020-01-05,2
2020-01-06,1
2020-01-07,2
2020-01-08,5
2020-01-09,2
2020-01-10,2
2020-01-11,1
2020-01-12,2
2020-01-13,3
2020-01-14,2
2020-01-15,5
2020-01-16,4
2020-01-17,1
2020-01-18,2
2020-01-19,1
2020-01-21,2
2020-01-22,3
2020-01-23,4
2020-01-24,2
2020-01-25,1
2020-01-26,3
2020-01-27,3
2020-01-28,1
2020-01-29,3
2020-01-31,1
2020-02-01,5
2020-02-03,4
2020-02-04,2
2020-02-05,4
2020-02-06,4
2020-02-07,4
2020-02-08,3
2020-02-09,3
2020-02-10,5
2020-02-11,6
2020-02-12,5
2020-02-13,2
2020-02-14,2
2020-02-15,3
2020-02-16,5
2020-02-17,5
2020-02-18,4
2020-02-19,6
2020-02-20,6
2020-02-21,1
2020-02-22,4
2020-02-23,7
2020-02-24,10
2020-02-25,12
2020-02-26,9
2020-02-27,6
2020-02-28,6
2020-02-29,15
2020-03-01,11
2020-03-02,13
2020-03-03,10
2020-03-04,13
2020-03-05,6
2020-03-06,11
2020-03-07,10
2020-03-08,14
2020-03-09,27
2020-03-10,13
2020-03-11,18
2020-03-12,30
2020-03-13,27
2020-03-14,37
2020-03-15,38
2020-03-16,35
2020-03-17,29
2020-03-18,23
2020-03-19,46
2020-03-20,52
2020-03-21,28
2020-03-22,34
2020-03-23,38
2020-03-24,37
2020-03-25,34
2020-03-26,27
2020-03-27,39
2020-03-28,33
2020-03-29,28
2020-03-30,32
2020-03-31,31
2020-04-01,51
2020-04-02,32
2020-04-03,23
2020-04-04,45
2020-04-05,41
2020-04-06,36
2020-04-07,39
2020-04-08,39
2020-04-09,38
2020-04-10,73
2020-04-11,50
2020-04-12,46
2020-04-13,41
2020-04-14,43
2020-04-15,54
2020-04-16,57
2020-04-17,59
2020-04-18,73
2020-04-19,41
2020-04-20,36
2020-04-21,37
2020-04-22,33
2020-04-23,49
2020-04-24,38
2020-04-25,28
2020-04-26,26
2020-04-27,28
2020-04-28,23
2020-04-29,7
2020-04-30,11
2020-05-01,8
2020-05-02,7
2020-05-03,1
