"dt_notific","n.notific"
2020-01-10,1
2020-01-14,1
2020-01-16,1
2020-01-17,1
2020-01-19,2
2020-01-21,1
2020-02-07,1
2020-02-10,1
2020-02-25,1
2020-02-27,1
2020-02-28,1
2020-03-04,1
2020-03-05,3
2020-03-06,2
2020-03-09,1
2020-03-11,1
2020-03-12,2
2020-03-14,1
2020-03-16,1
2020-03-17,1
2020-03-18,2
2020-03-19,2
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,4
2020-03-24,4
2020-03-25,3
2020-03-26,1
2020-03-27,3
2020-03-28,2
2020-03-29,5
2020-03-30,8
2020-03-31,6
2020-04-01,3
2020-04-02,5
2020-04-03,3
2020-04-04,6
2020-04-05,11
2020-04-06,7
2020-04-07,9
2020-04-08,10
2020-04-09,6
2020-04-10,7
2020-04-11,6
2020-04-12,2
2020-04-13,8
2020-04-14,5
2020-04-15,12
2020-04-16,10
2020-04-17,5
2020-04-18,4
2020-04-19,10
2020-04-20,10
2020-04-21,8
2020-04-22,9
2020-04-23,6
2020-04-24,18
2020-04-25,8
2020-04-26,4
2020-04-27,2
2020-04-28,10
2020-04-29,5
2020-04-30,15
2020-05-01,6
2020-05-02,3
2020-05-03,5
