"estimate","lower","upper","onset_date","n.reported"
5,5,5,2020-03-19,5
6,6,6,2020-03-20,6
3,3,4,2020-03-21,3
6,6,7,2020-03-22,6
3,3,4,2020-03-23,3
6,6,8,2020-03-24,6
1,1,2,2020-03-25,1
3,3,5,2020-03-26,3
3,3,5,2020-03-27,3
5,5,7,2020-03-28,5
1,1,3,2020-03-29,1
5,5,7,2020-03-30,5
3,3,5,2020-03-31,3
3,3,6,2020-04-01,3
3,3,6,2020-04-02,3
2,2,5,2020-04-03,2
10,9,13,2020-04-04,9
8,7,11,2020-04-05,7
5,4,8,2020-04-06,4
7,6,11,2020-04-07,6
6,4,10,2020-04-08,4
13,10,19,2020-04-09,10
22,19,30,2020-04-10,18
15,11,22,2020-04-11,11
12,8,19,2020-04-12,8
16,12,24,2020-04-13,11
12,7,20,2020-04-14,6
22,16,31,2020-04-15,14
25,18,36,2020-04-16,15
13,7,22,2020-04-17,5
17,12,27,2020-04-18,9
12,7,21,2020-04-19,5
7,2,15,2020-04-20,1
9,4,17,2020-04-21,3
5,1,14,2020-04-22,NA
7,2,17,2020-04-23,1
6,1,17,2020-04-24,NA
6,0,19,2020-04-25,NA
6,0,22,2020-04-26,NA
6,0,24,2020-04-27,NA
