"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,NA
0,0,0,2020-03-25,NA
1,1,1,2020-03-26,NA
0,0,0,2020-03-27,NA
1,1,1,2020-03-28,1
2,2,2,2020-03-29,NA
3,3,3,2020-03-30,1
1,1,1,2020-03-31,NA
1,1,1,2020-04-01,1
2,2,2,2020-04-02,2
3,3,3,2020-04-03,3
2,2,2,2020-04-04,1
1,1,1,2020-04-05,1
1,1,1,2020-04-06,2
0,0,0,2020-04-07,3
1,1,1,2020-04-08,2
3,3,3,2020-04-09,1
2,2,2,2020-04-10,1
3,3,4,2020-04-11,NA
6,6,7,2020-04-12,1
3,3,4,2020-04-13,3
6,6,8,2020-04-14,2
1,1,2,2020-04-15,3
5,5,7,2020-04-16,6
4,4,6,2020-04-17,3
5,5,8,2020-04-18,6
5,5,8,2020-04-19,1
3,2,5,2020-04-20,5
6,5,8,2020-04-21,4
6,5,8,2020-04-22,5
5,4,8,2020-04-23,5
3,2,6,2020-04-24,2
5,4,7,2020-04-25,5
2,1,4,2020-04-26,5
0,0,3,2020-04-27,4
0,0,3,2020-04-28,2
0,0,3,2020-04-29,4
0,0,3,2020-04-30,1
1,0,4,2020-05-01,NA
1,0,4,2020-05-02,NA
