"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-24,2
3,3,3,2020-03-25,3
3,3,3,2020-03-26,3
2,2,2,2020-03-27,2
3,3,3,2020-03-28,3
6,6,6,2020-03-29,6
5,5,5,2020-03-30,5
3,3,3,2020-03-31,3
4,4,4,2020-04-01,4
5,5,5,2020-04-02,5
6,6,8,2020-04-03,6
5,5,7,2020-04-04,5
5,5,7,2020-04-05,5
9,9,11,2020-04-06,9
10,10,13,2020-04-07,10
7,7,10,2020-04-08,7
6,6,9,2020-04-09,6
8,8,11,2020-04-10,8
8,7,11,2020-04-11,7
8,7,11,2020-04-12,7
7,6,10,2020-04-13,6
5,4,9,2020-04-14,4
7,6,11,2020-04-15,6
11,9,15,2020-04-16,9
12,10,17,2020-04-17,10
12,9,17,2020-04-18,9
12,9,17,2020-04-19,9
15,12,21,2020-04-20,12
13,9,18,2020-04-21,9
14,10,20,2020-04-22,10
12,9,18,2020-04-23,8
9,5,16,2020-04-24,4
20,16,28,2020-04-25,14
13,8,20,2020-04-26,6
13,8,21,2020-04-27,6
17,12,26,2020-04-28,9
17,10,26,2020-04-29,7
17,10,27,2020-04-30,6
13,6,24,2020-05-01,2
15,7,28,2020-05-02,2
