"estimate","lower","upper","onset_date","n.reported"
38,38,38,2020-03-23,38
37,37,40,2020-03-24,37
34,34,37,2020-03-25,34
28,27,31,2020-03-26,27
40,39,43,2020-03-27,39
33,32,37,2020-03-28,32
28,27,32,2020-03-29,27
33,31,37,2020-03-30,31
33,31,38,2020-03-31,31
54,51,59,2020-04-01,51
35,32,40,2020-04-02,32
26,23,31,2020-04-03,23
49,45,54,2020-04-04,45
44,41,50,2020-04-05,40
41,37,47,2020-04-06,36
44,40,50,2020-04-07,39
44,39,50,2020-04-08,38
44,39,51,2020-04-09,37
82,76,91,2020-04-10,72
61,54,70,2020-04-11,50
58,51,67,2020-04-12,46
53,46,62,2020-04-13,40
58,50,68,2020-04-14,43
73,64,84,2020-04-15,54
76,66,87,2020-04-16,54
82,72,95.0249999999996,2020-04-17,56
100,88,115,2020-04-18,69
68,57,82,2020-04-19,40
63,51,77,2020-04-20,33
71,58,86,2020-04-21,36
68,53,85,2020-04-22,28
93,76,114,2020-04-23,42
90,71,112,2020-04-24,32
83,62,107,2020-04-25,20
95,71,123,2020-04-26,20
112,83,150,2020-04-27,22
110,76,155,2020-04-28,12
110,72,164,2020-04-29,6
111,68,179,2020-04-30,3
112,64,202,2020-05-01,1
