"dt_evoluca","n.casos"
2020-03-23,1
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,1
2020-03-29,3
2020-03-30,2
2020-03-31,4
2020-04-01,1
2020-04-02,7
2020-04-03,6
2020-04-04,7
2020-04-05,4
2020-04-06,8
2020-04-07,7
2020-04-08,9
2020-04-09,8
2020-04-10,12
2020-04-11,9
2020-04-12,8
2020-04-13,6
2020-04-14,13
2020-04-15,13
2020-04-16,14
2020-04-17,17
2020-04-18,12
2020-04-19,12
2020-04-20,16
2020-04-21,20
2020-04-22,15
2020-04-23,10
2020-04-24,21
2020-04-25,25
2020-04-26,25
2020-04-27,11
2020-04-28,15
2020-04-29,13
2020-04-30,24
2020-05-01,17
2020-05-02,8
2020-05-03,11
2020-05-04,1
