"dt_notific","n.notific"
2020-03-20,2
2020-03-21,4
2020-03-23,8
2020-03-24,10
2020-03-26,11
2020-03-27,13
2020-03-28,6
2020-03-29,11
2020-03-30,29
2020-03-31,14
2020-04-01,28
2020-04-02,22
2020-04-03,24
2020-04-04,8
2020-04-05,8
2020-04-06,39
2020-04-07,37
2020-04-08,30
2020-04-09,50
2020-04-10,22
2020-04-11,18
2020-04-12,14
2020-04-13,53
2020-04-14,30
2020-04-15,44
2020-04-16,59
2020-04-17,42
2020-04-18,24
2020-04-19,20
2020-04-20,51
2020-04-21,22
2020-04-22,59
2020-04-23,38
2020-04-24,31
2020-04-25,20
2020-04-26,9
2020-04-27,49
2020-04-28,12
2020-04-29,20
2020-04-30,13
2020-05-01,13
2020-05-02,13
2020-05-03,6
2020-05-04,12
