"dt_notific","n.notific"
2020-03-21,1
2020-03-23,2
2020-03-24,4
2020-03-26,4
2020-03-27,2
2020-03-28,5
2020-03-29,6
2020-03-30,8
2020-03-31,5
2020-04-01,8
2020-04-02,10
2020-04-03,7
2020-04-04,3
2020-04-05,4
2020-04-06,23
2020-04-07,11
2020-04-08,11
2020-04-09,15
2020-04-10,10
2020-04-11,6
2020-04-12,7
2020-04-13,23
2020-04-14,16
2020-04-15,14
2020-04-16,17
2020-04-17,17
2020-04-18,7
2020-04-19,11
2020-04-20,23
2020-04-21,12
2020-04-22,15
2020-04-23,14
2020-04-24,10
2020-04-25,13
2020-04-26,7
2020-04-27,23
2020-04-28,8
2020-04-29,10
2020-04-30,6
2020-05-01,10
2020-05-02,11
2020-05-03,5
