"dt_notific","n.notific"
2020-01-05,1
2020-01-11,1
2020-01-13,1
2020-01-14,1
2020-01-24,3
2020-01-28,1
2020-01-30,1
2020-02-10,1
2020-02-21,1
2020-02-26,1
2020-02-27,1
2020-03-13,1
2020-03-14,1
2020-03-18,1
2020-03-21,3
2020-03-22,3
2020-03-23,11
2020-03-24,12
2020-03-25,2
2020-03-26,10
2020-03-27,3
2020-03-28,7
2020-03-29,13
2020-03-30,19
2020-03-31,14
2020-04-01,17
2020-04-02,20
2020-04-03,12
2020-04-04,7
2020-04-05,8
2020-04-06,37
2020-04-07,21
2020-04-08,25
2020-04-09,24
2020-04-10,20
2020-04-11,12
2020-04-12,14
2020-04-13,45
2020-04-14,31
2020-04-15,28
2020-04-16,28
2020-04-17,32
2020-04-18,15
2020-04-19,17
2020-04-20,35
2020-04-21,21
2020-04-22,28
2020-04-23,24
2020-04-24,37
2020-04-25,24
2020-04-26,14
2020-04-27,54
2020-04-28,27
2020-04-29,27
2020-04-30,21
2020-05-01,23
2020-05-02,23
2020-05-03,10
2020-05-04,5
