"estimate","lower","upper","onset_date","n.reported"
15,15,15,2020-03-22,15
21,21,22,2020-03-23,21
23,23,24,2020-03-24,23
30,29,32,2020-03-25,29
25,24,27,2020-03-26,24
24,23,27,2020-03-27,23
18,17,21,2020-03-28,17
15,14,18,2020-03-29,14
27,26,31,2020-03-30,26
21,19,24,2020-03-31,19
37,35,42,2020-04-01,35
33,30,37,2020-04-02,30
27,24,31,2020-04-03,24
24,21,29,2020-04-04,21
27,23,32,2020-04-05,23
40,36,45,2020-04-06,35
30,26,36,2020-04-07,25
37,32,43,2020-04-08,30
37,32,44,2020-04-09,29
55,48,63,2020-04-10,44
51,44,60,2020-04-11,39
44,37,53,2020-04-12,31
53,46,63,2020-04-13,39
38,31,49,2020-04-14,23
51,42,63,2020-04-15,32
48,38,61,2020-04-16,26
54,43,69,2020-04-17,26
65,52,82,2020-04-18,31
63,48,80,2020-04-19,25
57,42,76,2020-04-20,18
48,33,68,2020-04-21,9
47,30,67,2020-04-22,6
52,35,75,2020-04-23,8
51,32,77,2020-04-24,5
52,31,80,2020-04-25,4
48,25,79.0249999999996,2020-04-26,NA
50,26,87,2020-04-27,1
50,23,89,2020-04-28,NA
50,21,93,2020-04-29,NA
50,21,96,2020-04-30,NA
