"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-24,2
2,2,2,2020-03-25,2
2,2,2,2020-03-26,2
2,2,2,2020-03-27,2
1,1,1,2020-03-28,1
3,3,3,2020-03-29,3
2,2,2,2020-03-30,2
4,4,4,2020-03-31,4
1,1,1,2020-04-01,1
7,7,7,2020-04-02,7
6,6,6,2020-04-03,6
7,7,7,2020-04-04,7
4,4,4,2020-04-05,4
6,6,7,2020-04-06,6
7,7,9,2020-04-07,7
9,9,11,2020-04-08,9
8,8,10,2020-04-09,8
11,11,14,2020-04-10,11
9,9,12,2020-04-11,9
9,8,12,2020-04-12,8
7,6,10,2020-04-13,6
14,13,18,2020-04-14,13
12,10,16,2020-04-15,10
14,12,19,2020-04-16,12
19,16,24,2020-04-17,16
15,12,20,2020-04-18,12
15,11,20.0249999999996,2020-04-19,11
19,15,25,2020-04-20,14
25,20,33,2020-04-21,19
18,13,25,2020-04-22,12
15,11,23,2020-04-23,9
28,22,37,2020-04-24,19
33,26,43,2020-04-25,22
35,28,45,2020-04-26,23
20,13,30,2020-04-27,9
27,19,38,2020-04-28,14
25,17,38,2020-04-29,10
45,34,61,2020-04-30,22
42,30,61,2020-05-01,16
33,18,55,2020-05-02,4
