"estimate","lower","upper","onset_date","n.reported"
7,7,7,2020-03-24,7
5,5,5,2020-03-25,5
4,4,4,2020-03-26,4
6,6,6,2020-03-27,6
3,3,3,2020-03-28,3
7,7,7,2020-03-29,7
7,7,7,2020-03-30,7
15,15,15,2020-03-31,15
4,4,4,2020-04-01,4
13,13,13,2020-04-02,13
11,11,11,2020-04-03,11
10,10,10,2020-04-04,10
15,15,15,2020-04-05,15
19,19,20,2020-04-06,19
14,14,16,2020-04-07,14
18,18,20,2020-04-08,18
16,15,18,2020-04-09,15
17,16,20,2020-04-10,16
20,19,24,2020-04-11,19
19,17,24,2020-04-12,17
29,26,35,2020-04-13,26
30,27,36,2020-04-14,26
23,20,29,2020-04-15,19
28,23,34,2020-04-16,22
35,29,42,2020-04-17,27
32,27,40,2020-04-18,24
30,24,39,2020-04-19,21
34,27,42,2020-04-20,23
45,38,55,2020-04-21,32
31,23,40,2020-04-22,18
33,26,44,2020-04-23,19
58,48,71,2020-04-24,37
59,48,74,2020-04-25,35
71,58,87,2020-04-26,42
55,43,72,2020-04-27,25
75,60,94,2020-04-28,36
88,70,111,2020-04-29,38
110,88,140,2020-04-30,45
106,81.9750000000002,138,2020-05-01,34
88,60,126,2020-05-02,12
