"estimate","lower","upper","onset_date","n.reported"
80,80,80,2020-03-23,80
68,67,70,2020-03-24,67
80,78,84,2020-03-25,78
56,54,61,2020-03-26,54
64,62,69,2020-03-27,62
55,52,60,2020-03-28,52
64,61,70,2020-03-29,61
67,63,73,2020-03-30,63
64,61,71,2020-03-31,60
107,102,114,2020-04-01,101
77,73,84,2020-04-02,71
86,81,94,2020-04-03,79
70,66,78,2020-04-04,63
78,73,86,2020-04-05,69
111,105,120,2020-04-06,99
115,108,125,2020-04-07,101
109,101,119,2020-04-08,93
137,128,149,2020-04-09,115
175,164,189,2020-04-10,147
146,135,160,2020-04-11,116
160,147,176,2020-04-12,125
190,176,207,2020-04-13,147
152,138,169,2020-04-14,109
191,175,210,2020-04-15,137
172,153.975,192,2020-04-16,111
210,190,235,2020-04-17,131
257,231,287,2020-04-18,149
274,245,308,2020-04-19,142
343,307,385,2020-04-20,169
294,258,338,2020-04-21,120
299,257,346,2020-04-22,101
348,300,405.025,2020-04-23,102
390,332,458,2020-04-24,91
441,370,525,2020-04-25,84
430,351,520.025,2020-04-26,54
526,424,647,2020-04-27,55
581,454,738,2020-04-28,44
534,393,702,2020-04-29,17
550,371,787.025,2020-04-30,9
567,346.975,917,2020-05-01,3
