"dt_evoluca","n.casos"
2020-01-15,2
2020-01-16,1
2020-01-29,1
2020-02-14,1
2020-02-21,1
2020-02-23,1
2020-02-29,1
2020-03-10,1
2020-03-11,1
2020-03-16,1
2020-03-18,1
2020-03-20,1
2020-03-22,1
2020-03-23,3
2020-03-24,1
2020-03-27,1
2020-03-28,2
2020-03-29,3
2020-03-31,3
2020-04-01,2
2020-04-02,4
2020-04-03,9
2020-04-04,3
2020-04-05,3
2020-04-06,1
2020-04-07,2
2020-04-08,2
2020-04-09,3
2020-04-10,1
2020-04-11,2
2020-04-12,7
2020-04-13,2
2020-04-14,2
2020-04-15,5
2020-04-16,3
2020-04-17,5
2020-04-18,3
2020-04-19,2
2020-04-20,7
2020-04-22,6
2020-04-23,1
2020-04-25,3
2020-04-26,1
2020-04-27,3
2020-04-28,4
2020-04-29,2
2020-04-30,1
2020-05-02,1
2020-05-04,1
