"dt_sin_pri","n.casos"
2020-03-03,1
2020-03-04,1
2020-03-09,2
2020-03-11,1
2020-03-14,2
2020-03-15,3
2020-03-16,3
2020-03-17,2
2020-03-18,2
2020-03-19,4
2020-03-20,5
2020-03-21,3
2020-03-22,5
2020-03-23,5
2020-03-24,4
2020-03-25,2
2020-03-26,4
2020-03-27,2
2020-03-28,4
2020-03-30,2
2020-03-31,2
2020-04-01,1
2020-04-03,2
2020-04-04,4
2020-04-05,1
2020-04-06,4
2020-04-08,5
2020-04-09,5
2020-04-10,4
2020-04-11,3
2020-04-12,1
2020-04-13,4
2020-04-14,3
2020-04-15,1
2020-04-16,4
2020-04-17,4
2020-04-18,2
2020-04-19,3
2020-04-20,1
2020-04-21,2
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,1
