"dt_sin_pri","n.casos"
2019-12-29,4
2019-12-30,3
2020-01-01,3
2020-01-02,2
2020-01-03,1
2020-01-04,1
2020-01-05,4
2020-01-06,2
2020-01-07,3
2020-01-08,1
2020-01-09,2
2020-01-10,3
2020-01-11,2
2020-01-12,6
2020-01-13,1
2020-01-15,3
2020-01-16,3
2020-01-17,1
2020-01-19,1
2020-01-20,3
2020-01-21,1
2020-01-22,3
2020-01-23,2
2020-01-24,2
2020-01-25,4
2020-01-26,1
2020-01-27,2
2020-01-28,2
2020-01-29,1
2020-01-30,3
2020-01-31,1
2020-02-01,8
2020-02-02,1
2020-02-03,3
2020-02-04,2
2020-02-05,2
2020-02-06,1
2020-02-07,2
2020-02-08,2
2020-02-09,1
2020-02-10,3
2020-02-11,4
2020-02-12,4
2020-02-13,1
2020-02-14,2
2020-02-15,8
2020-02-16,6
2020-02-17,7
2020-02-18,4
2020-02-19,2
2020-02-20,6
2020-02-21,4
2020-02-22,5
2020-02-23,6
2020-02-24,5
2020-02-25,7
2020-02-26,10
2020-02-27,5
2020-02-28,9
2020-02-29,5
2020-03-01,13
2020-03-02,6
2020-03-03,6
2020-03-04,7
2020-03-05,5
2020-03-06,7
2020-03-07,13
2020-03-08,13
2020-03-09,14
2020-03-10,13
2020-03-11,13
2020-03-12,9
2020-03-13,17
2020-03-14,19
2020-03-15,21
2020-03-16,23
2020-03-17,29
2020-03-18,16
2020-03-19,25
2020-03-20,32
2020-03-21,17
2020-03-22,22
2020-03-23,21
2020-03-24,19
2020-03-25,23
2020-03-26,23
2020-03-27,14
2020-03-28,18
2020-03-29,17
2020-03-30,18
2020-03-31,23
2020-04-01,22
2020-04-02,14
2020-04-03,16
2020-04-04,19
2020-04-05,20
2020-04-06,17
2020-04-07,24
2020-04-08,24
2020-04-09,21
2020-04-10,29
2020-04-11,10
2020-04-12,19
2020-04-13,24
2020-04-14,16
2020-04-15,19
2020-04-16,14
2020-04-17,21
2020-04-18,16
2020-04-19,20
2020-04-20,11
2020-04-21,8
2020-04-22,14
2020-04-23,14
2020-04-24,9
2020-04-25,10
2020-04-26,6
2020-04-27,7
2020-04-28,3
2020-04-29,3
2020-04-30,6
2020-05-01,2
