"dt_notific","n.notific"
2020-03-06,1
2020-03-14,1
2020-03-18,1
2020-03-19,2
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-25,3
2020-03-26,1
2020-03-27,2
2020-03-29,3
2020-03-30,6
2020-03-31,9
2020-04-01,2
2020-04-02,2
2020-04-03,3
2020-04-04,1
2020-04-05,3
2020-04-06,2
2020-04-07,3
2020-04-08,1
2020-04-09,2
2020-04-10,3
2020-04-11,3
2020-04-12,1
2020-04-13,2
2020-04-14,6
2020-04-15,9
2020-04-16,2
2020-04-17,4
2020-04-20,5
2020-04-21,1
2020-04-22,7
2020-04-23,3
2020-04-24,4
2020-04-25,1
2020-04-27,7
2020-04-28,5
2020-04-29,2
