"dt_notific","n.notific"
2020-01-14,1
2020-01-15,1
2020-01-27,1
2020-01-31,1
2020-02-06,1
2020-02-07,1
2020-02-17,1
2020-02-21,1
2020-02-27,1
2020-03-11,1
2020-03-16,2
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-23,4
2020-03-24,2
2020-03-25,6
2020-03-26,2
2020-03-27,1
2020-03-28,1
2020-03-30,4
2020-03-31,6
2020-04-02,3
2020-04-03,5
2020-04-04,1
2020-04-05,1
2020-04-06,4
2020-04-07,2
2020-04-08,1
2020-04-09,2
2020-04-11,2
2020-04-12,2
2020-04-13,5
2020-04-14,3
2020-04-15,9
2020-04-16,4
2020-04-17,6
2020-04-18,1
2020-04-19,3
2020-04-20,6
2020-04-22,2
2020-04-23,2
2020-04-24,1
2020-04-26,1
2020-04-27,4
2020-04-28,4
2020-04-29,2
