"dt_notific","n.notific"
2019-12-31,2
2020-01-02,3
2020-01-03,2
2020-01-06,4
2020-01-07,2
2020-01-08,1
2020-01-09,2
2020-01-10,3
2020-01-11,1
2020-01-13,8
2020-01-14,5
2020-01-15,1
2020-01-18,1
2020-01-20,3
2020-01-21,1
2020-01-22,1
2020-01-23,2
2020-01-25,2
2020-01-27,7
2020-01-28,1
2020-01-29,2
2020-01-30,3
2020-01-31,2
2020-02-03,5
2020-02-04,5
2020-02-05,3
2020-02-06,3
2020-02-07,4
2020-02-10,3
2020-02-12,3
2020-02-13,1
2020-02-14,3
2020-02-15,1
2020-02-17,7
2020-02-18,8
2020-02-19,4
2020-02-20,8
2020-02-21,4
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,4
2020-02-27,21
2020-02-28,10
2020-02-29,2
2020-03-02,7
2020-03-03,8
2020-03-04,2
2020-03-05,16
2020-03-06,4
2020-03-07,1
2020-03-08,2
2020-03-09,17
2020-03-10,9
2020-03-11,6
2020-03-12,14
2020-03-13,14
2020-03-14,2
2020-03-15,2
2020-03-16,17
2020-03-17,14
2020-03-18,17
2020-03-19,19
2020-03-20,9
2020-03-21,6
2020-03-22,5
2020-03-23,39
2020-03-24,27
2020-03-25,34
2020-03-26,19
2020-03-27,24
2020-03-28,8
2020-03-29,8
2020-03-30,32
2020-03-31,36
2020-04-01,19
2020-04-02,23
2020-04-03,20
2020-04-04,7
2020-04-05,8
2020-04-06,31
2020-04-07,23
2020-04-08,22
2020-04-09,28
2020-04-10,10
2020-04-11,17
2020-04-12,13
2020-04-13,34
2020-04-14,31
2020-04-15,32
2020-04-16,16
2020-04-17,22
2020-04-18,11
2020-04-19,10
2020-04-20,30
2020-04-21,7
2020-04-22,30
2020-04-23,17
2020-04-24,21
2020-04-25,10
2020-04-26,5
2020-04-27,28
2020-04-28,34
2020-04-29,9
2020-04-30,4
2020-05-01,7
2020-05-02,6
2020-05-03,5
