"estimate","lower","upper","onset_date","n.reported"
3,3,3,2020-03-15,3
3,3,4,2020-03-16,3
2,2,3,2020-03-17,2
2,2,3,2020-03-18,2
4,4,6,2020-03-19,4
5,5,7,2020-03-20,5
3,3,5,2020-03-21,3
3,3,5,2020-03-22,3
5,5,7,2020-03-23,5
4,4,6,2020-03-24,4
2,2,4,2020-03-25,2
4,4,6,2020-03-26,4
2,2,5,2020-03-27,2
5,4,7,2020-03-28,4
1,0,4,2020-03-29,NA
3,2,6,2020-03-30,2
3,2,6,2020-03-31,2
2,1,6,2020-04-01,1
1,0,5,2020-04-02,NA
4,2,8,2020-04-03,2
6,4,10,2020-04-04,4
3,1,7,2020-04-05,1
6,3,10,2020-04-06,3
3,0,8,2020-04-07,NA
9,5,16,2020-04-08,5
9,5,16,2020-04-09,4
9,5,18,2020-04-10,4
8,3,17,2020-04-11,2
7,2,17,2020-04-12,1
9,3,21,2020-04-13,2
9,3,22,2020-04-14,1
10,3,24,2020-04-15,1
10,3,26,2020-04-16,1
9,2,26,2020-04-17,NA
9,2,29,2020-04-18,NA
11,3,34,2020-04-19,1
10,2,37.0249999999996,2020-04-20,NA
11,3,45,2020-04-21,1
10,2,49,2020-04-22,NA
11,2,53,2020-04-23,NA
