"estimate","lower","upper","onset_date","n.reported"
17,17,17,2020-03-21,17
21,21,21,2020-03-22,21
21,21,24,2020-03-23,21
19,19,22,2020-03-24,19
22,22,25,2020-03-25,22
23,23,26,2020-03-26,23
15,14,17,2020-03-27,14
19,18,21,2020-03-28,18
18,17,20,2020-03-29,17
19,18,22,2020-03-30,18
24,23,27,2020-03-31,23
23,22,26,2020-04-01,22
15,14,18,2020-04-02,14
17,16,21,2020-04-03,16
21,19,24,2020-04-04,19
21,19,25,2020-04-05,19
19,17,23,2020-04-06,17
27,24,31,2020-04-07,24
27,24,32,2020-04-08,24
23,19,28,2020-04-09,19
31,28,36,2020-04-10,27
13,10,19,2020-04-11,9
24,20,30,2020-04-12,19
27,22,32,2020-04-13,21
20,16,26,2020-04-14,14
25,20,32,2020-04-15,18
21,16,28,2020-04-16,13
21,15,28,2020-04-17,12
21,15,28,2020-04-18,11
24,18,32,2020-04-19,13
21,14,29,2020-04-20,8
20,13,29,2020-04-21,6
24,16,34,2020-04-22,8
27,18,37,2020-04-23,9
22,13,34,2020-04-24,3
24,14,36,2020-04-25,3
26,16,40,2020-04-26,4
25,15,40.0249999999996,2020-04-27,2
24,13,40,2020-04-28,NA
24,13,41,2020-04-29,NA
