"dt_sin_pri","n.casos"
2020-02-17,1
2020-03-09,1
2020-03-11,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,2
2020-03-21,3
2020-03-23,1
2020-03-24,2
2020-03-25,1
2020-03-26,1
2020-03-27,2
2020-03-28,1
2020-03-29,2
2020-03-31,3
2020-04-01,6
2020-04-02,2
2020-04-03,4
2020-04-04,5
2020-04-05,5
2020-04-06,2
2020-04-07,8
2020-04-08,1
2020-04-09,3
2020-04-10,5
2020-04-11,2
2020-04-12,5
2020-04-13,2
2020-04-14,5
2020-04-15,8
2020-04-16,1
2020-04-17,3
2020-04-18,4
2020-04-19,1
2020-04-20,1
2020-04-21,3
2020-04-23,1
2020-04-24,2
2020-04-28,1
