"dt_sin_pri","n.casos"
2019-12-29,1
2019-12-30,1
2019-12-31,1
2020-01-03,1
2020-01-04,1
2020-01-06,2
2020-01-07,1
2020-01-08,1
2020-01-09,1
2020-01-10,1
2020-01-11,1
2020-01-12,1
2020-01-13,2
2020-01-14,1
2020-01-15,1
2020-01-16,1
2020-01-17,2
2020-01-19,1
2020-01-20,1
2020-01-24,1
2020-01-25,2
2020-01-26,1
2020-01-27,2
2020-01-29,2
2020-01-31,2
2020-02-01,1
2020-02-02,1
2020-02-04,1
2020-02-08,2
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-13,2
2020-02-14,1
2020-02-15,1
2020-02-17,2
2020-02-19,2
2020-02-20,1
2020-02-21,1
2020-02-22,3
2020-02-23,2
2020-02-24,2
2020-02-25,4
2020-02-26,2
2020-02-27,4
2020-02-28,2
2020-02-29,3
2020-03-01,1
2020-03-02,6
2020-03-03,5
2020-03-04,2
2020-03-05,2
2020-03-06,3
2020-03-07,1
2020-03-08,3
2020-03-09,4
2020-03-10,4
2020-03-11,10
2020-03-12,4
2020-03-13,2
2020-03-14,7
2020-03-15,10
2020-03-16,3
2020-03-17,11
2020-03-18,8
2020-03-19,10
2020-03-20,11
2020-03-21,14
2020-03-22,5
2020-03-23,10
2020-03-24,13
2020-03-25,11
2020-03-26,12
2020-03-27,9
2020-03-28,7
2020-03-29,9
2020-03-30,10
2020-03-31,12
2020-04-01,19
2020-04-02,12
2020-04-03,14
2020-04-04,17
2020-04-05,13
2020-04-06,13
2020-04-07,15
2020-04-08,7
2020-04-09,11
2020-04-10,16
2020-04-11,14
2020-04-12,13
2020-04-13,14
2020-04-14,13
2020-04-15,21
2020-04-16,11
2020-04-17,12
2020-04-18,10
2020-04-19,10
2020-04-20,12
2020-04-21,15
2020-04-22,3
2020-04-23,6
2020-04-24,9
2020-04-25,6
2020-04-26,4
2020-04-27,7
2020-04-28,7
2020-04-29,4
2020-05-02,2
