"dt_notific","n.notific"
2020-01-14,1
2020-01-17,1
2020-01-24,1
2020-01-30,1
2020-02-12,1
2020-02-17,1
2020-02-21,1
2020-02-26,1
2020-03-05,1
2020-03-19,1
2020-03-22,1
2020-03-24,2
2020-03-25,1
2020-03-26,3
2020-03-27,2
2020-03-28,2
2020-03-30,1
2020-03-31,2
2020-04-01,5
2020-04-03,2
2020-04-04,5
2020-04-05,2
2020-04-06,2
2020-04-07,3
2020-04-08,4
2020-04-09,5
2020-04-10,1
2020-04-11,1
2020-04-12,4
2020-04-13,5
2020-04-14,7
2020-04-15,3
2020-04-16,3
2020-04-17,5
2020-04-18,3
2020-04-19,2
2020-04-20,5
2020-04-21,5
2020-04-22,1
2020-04-23,1
2020-04-24,6
2020-04-25,1
2020-04-27,2
2020-04-28,1
2020-04-30,1
