"dt_notific","n.notific"
2019-12-30,1
2019-12-31,1
2020-01-03,1
2020-01-07,1
2020-01-09,3
2020-01-11,2
2020-01-14,2
2020-01-15,1
2020-01-16,1
2020-01-17,2
2020-01-19,2
2020-01-22,1
2020-01-23,1
2020-01-24,1
2020-01-27,1
2020-01-28,3
2020-01-29,1
2020-01-30,1
2020-02-02,2
2020-02-03,3
2020-02-07,1
2020-02-10,1
2020-02-11,1
2020-02-12,2
2020-02-13,1
2020-02-17,2
2020-02-18,1
2020-02-20,1
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-26,3
2020-02-27,4
2020-02-28,6
2020-02-29,3
2020-03-01,1
2020-03-02,2
2020-03-03,3
2020-03-04,3
2020-03-05,3
2020-03-06,5
2020-03-07,2
2020-03-09,1
2020-03-10,3
2020-03-11,2
2020-03-12,1
2020-03-13,3
2020-03-14,3
2020-03-15,4
2020-03-16,3
2020-03-17,6
2020-03-18,4
2020-03-19,9
2020-03-20,9
2020-03-21,4
2020-03-22,5
2020-03-23,7
2020-03-24,9
2020-03-25,10
2020-03-26,11
2020-03-27,12
2020-03-28,9
2020-03-29,9
2020-03-30,19
2020-03-31,9
2020-04-01,13
2020-04-02,11
2020-04-03,13
2020-04-04,11
2020-04-05,7
2020-04-06,16
2020-04-07,15
2020-04-08,21
2020-04-09,12
2020-04-10,13
2020-04-11,10
2020-04-12,10
2020-04-13,16
2020-04-14,21
2020-04-15,16
2020-04-16,12
2020-04-17,13
2020-04-18,4
2020-04-19,10
2020-04-20,13
2020-04-21,10
2020-04-22,16
2020-04-23,11
2020-04-24,20
2020-04-25,9
2020-04-26,4
2020-04-27,12
2020-04-28,17
2020-04-29,16
2020-04-30,10
2020-05-01,2
2020-05-02,3
