"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-18,1
1,1,2,2020-03-19,1
2,2,3,2020-03-20,2
3,3,4,2020-03-21,3
0,0,1,2020-03-22,NA
1,1,2,2020-03-23,1
2,2,3,2020-03-24,2
1,1,2,2020-03-25,1
0,0,1,2020-03-26,NA
1,1,2,2020-03-27,1
1,1,3,2020-03-28,1
2,2,4,2020-03-29,2
0,0,2,2020-03-30,NA
3,3,6,2020-03-31,3
3,3,6,2020-04-01,3
2,1,4,2020-04-02,1
3,2,6,2020-04-03,2
4,3,8,2020-04-04,3
6,5,11,2020-04-05,5
2,1,7,2020-04-06,1
9,7,14,2020-04-07,7
2,0,6,2020-04-08,NA
4,2,8,2020-04-09,2
5,3,9,2020-04-10,3
4,2,8,2020-04-11,2
4,2,9,2020-04-12,2
2,0,7,2020-04-13,NA
5,3,11,2020-04-14,3
4,2,9,2020-04-15,2
2,0,7,2020-04-16,NA
2,0,8,2020-04-17,NA
3,1,9,2020-04-18,1
2,0,9,2020-04-19,NA
2,0,9,2020-04-20,NA
2,0,9,2020-04-21,NA
3,0,10,2020-04-22,NA
3,0,11,2020-04-23,NA
3,0,12,2020-04-24,NA
3,0,13,2020-04-25,NA
3,0,14,2020-04-26,NA
