"estimate","lower","upper","onset_date","n.reported"
3,3,3,2020-03-24,NA
2,2,2,2020-03-25,3
0,0,0,2020-03-26,2
1,1,1,2020-03-27,NA
1,1,1,2020-03-28,1
0,0,0,2020-03-29,1
1,1,1,2020-03-30,NA
3,3,3,2020-03-31,1
0,0,0,2020-04-01,3
2,2,2,2020-04-02,NA
1,1,1,2020-04-03,2
2,2,2,2020-04-04,1
0,0,0,2020-04-05,2
1,1,1,2020-04-06,NA
1,1,1,2020-04-07,1
0,0,0,2020-04-08,1
5,5,5,2020-04-09,NA
2,2,2,2020-04-10,5
4,4,4,2020-04-11,2
2,2,3,2020-04-12,4
3,3,4,2020-04-13,2
1,1,2,2020-04-14,3
5,5,7,2020-04-15,1
4,4,6,2020-04-16,5
4,4,6,2020-04-17,4
4,4,7,2020-04-18,4
2,2,5,2020-04-19,4
4,4,7,2020-04-20,2
4,3,6,2020-04-21,4
3,2,5,2020-04-22,3
6,5,9,2020-04-23,2
7,5,11,2020-04-24,5
10,8,15,2020-04-25,5
9,7,15,2020-04-26,8
4,2,9,2020-04-27,7
3,1,7,2020-04-28,2
2,0,7,2020-04-29,1
2,0,7,2020-04-30,NA
2,0,8,2020-05-01,NA
3,0,9,2020-05-02,NA
