"estimate","lower","upper","onset_date","n.reported"
5,5,5,2020-03-22,5
10,10,11,2020-03-23,10
13,13,14,2020-03-24,13
11,11,13,2020-03-25,11
12,12,14,2020-03-26,12
9,9,12,2020-03-27,9
8,7,11,2020-03-28,7
10,9,13,2020-03-29,9
11,10,14,2020-03-30,10
13,12,17,2020-03-31,12
21,19,25,2020-04-01,19
14,12,18,2020-04-02,12
14,12,19,2020-04-03,12
17,15,22,2020-04-04,15
16,13,21,2020-04-05,13
15,12,20,2020-04-06,12
18,15,23,2020-04-07,15
9,6,14,2020-04-08,6
15,11,20,2020-04-09,11
20,17,25,2020-04-10,16
17,13,22,2020-04-11,12
18,14,24,2020-04-12,13
19,15,26,2020-04-13,14
17,13,23,2020-04-14,11
26,21,33,2020-04-15,19
18,12,25,2020-04-16,10
18,13,26,2020-04-17,10
19,13,27,2020-04-18,10
18,12,27,2020-04-19,8
20,14,30,2020-04-20,9
27,20,37,2020-04-21,14
16,8,26.0249999999996,2020-04-22,2
20,12,32,2020-04-23,4
25,16,39,2020-04-24,7
27,17,43,2020-04-25,6
25,14,45,2020-04-26,2
29,17,53,2020-04-27,4
29,15,55,2020-04-28,2
27,13,56,2020-04-29,NA
27,13,60,2020-04-30,NA
