"dt_evoluca","n.casos"
2020-01-12,1
2020-01-14,2
2020-01-15,1
2020-01-19,2
2020-01-28,1
2020-02-01,1
2020-02-04,1
2020-02-08,1
2020-02-12,2
2020-02-17,1
2020-02-21,2
2020-03-01,1
2020-03-03,1
2020-03-11,1
2020-03-14,1
2020-03-15,1
2020-03-16,2
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,6
2020-03-24,1
2020-03-25,4
2020-03-26,3
2020-03-27,2
2020-03-28,2
2020-03-29,4
2020-03-30,4
2020-03-31,2
2020-04-01,3
2020-04-02,3
2020-04-03,7
2020-04-04,3
2020-04-05,9
2020-04-06,3
2020-04-07,2
2020-04-08,6
2020-04-09,2
2020-04-10,5
2020-04-11,5
2020-04-12,4
2020-04-13,3
2020-04-14,3
2020-04-15,4
2020-04-16,1
2020-04-17,3
2020-04-18,3
2020-04-19,4
2020-04-20,2
2020-04-21,1
2020-04-22,4
2020-04-23,3
2020-04-24,1
2020-04-25,3
2020-04-26,2
2020-04-27,5
2020-04-28,4
2020-04-29,3
2020-04-30,2
2020-05-01,1
2020-05-03,2
