"dt_sin_pri","n.casos"
2020-03-08,1
2020-03-10,1
2020-03-11,2
2020-03-12,2
2020-03-13,1
2020-03-14,3
2020-03-15,1
2020-03-16,2
2020-03-17,3
2020-03-18,2
2020-03-19,2
2020-03-20,3
2020-03-21,4
2020-03-22,3
2020-03-23,4
2020-03-24,3
2020-03-25,5
2020-03-26,3
2020-03-27,4
2020-03-28,1
2020-03-29,3
2020-03-30,5
2020-03-31,5
2020-04-01,6
2020-04-02,6
2020-04-03,2
2020-04-04,3
2020-04-05,2
2020-04-07,5
2020-04-08,3
2020-04-09,9
2020-04-10,3
2020-04-11,4
2020-04-12,7
2020-04-13,1
2020-04-14,2
2020-04-15,3
2020-04-17,1
2020-04-18,2
2020-04-20,2
2020-04-21,2
2020-04-22,3
2020-04-23,2
2020-04-24,2
2020-04-25,2
2020-04-26,2
2020-04-30,1
