"dt_sin_pri","n.casos"
2019-12-29,2
2019-12-30,2
2019-12-31,1
2020-01-01,4
2020-01-02,2
2020-01-03,3
2020-01-04,1
2020-01-05,2
2020-01-06,1
2020-01-07,1
2020-01-08,3
2020-01-09,2
2020-01-10,3
2020-01-11,3
2020-01-12,1
2020-01-13,3
2020-01-14,3
2020-01-15,2
2020-01-16,2
2020-01-17,2
2020-01-18,3
2020-01-20,1
2020-01-21,2
2020-01-24,2
2020-01-25,2
2020-01-26,2
2020-01-28,1
2020-01-29,2
2020-01-30,2
2020-01-31,1
2020-02-01,2
2020-02-02,3
2020-02-03,3
2020-02-05,1
2020-02-06,1
2020-02-07,2
2020-02-08,2
2020-02-09,1
2020-02-10,6
2020-02-11,1
2020-02-12,2
2020-02-13,1
2020-02-14,1
2020-02-15,2
2020-02-16,2
2020-02-17,1
2020-02-18,4
2020-02-19,4
2020-02-20,1
2020-02-21,1
2020-02-23,2
2020-02-24,1
2020-02-25,4
2020-02-26,3
2020-02-27,3
2020-02-28,4
2020-02-29,3
2020-03-01,4
2020-03-02,3
2020-03-03,3
2020-03-04,8
2020-03-05,4
2020-03-06,7
2020-03-07,8
2020-03-08,6
2020-03-09,7
2020-03-10,17
2020-03-11,9
2020-03-12,15
2020-03-13,23
2020-03-14,24
2020-03-15,25
2020-03-16,25
2020-03-17,23
2020-03-18,22
2020-03-19,24
2020-03-20,41
2020-03-21,21
2020-03-22,30
2020-03-23,30
2020-03-24,18
2020-03-25,29
2020-03-26,18
2020-03-27,25
2020-03-28,20
2020-03-29,25
2020-03-30,30
2020-03-31,18
2020-04-01,33
2020-04-02,25
2020-04-03,28
2020-04-04,26
2020-04-05,15
2020-04-06,25
2020-04-07,24
2020-04-08,20
2020-04-09,29
2020-04-10,31
2020-04-11,20
2020-04-12,30
2020-04-13,33
2020-04-14,19
2020-04-15,26
2020-04-16,12
2020-04-17,24
2020-04-18,21
2020-04-19,17
2020-04-20,34
2020-04-21,22
2020-04-22,25
2020-04-23,28
2020-04-24,15
2020-04-25,13
2020-04-26,24
2020-04-27,14
2020-04-28,8
2020-04-29,3
2020-04-30,11
2020-05-01,9
2020-05-02,1
2020-05-03,3
