"dt_notific","n.notific"
2020-03-13,1
2020-03-14,1
2020-03-16,3
2020-03-18,1
2020-03-19,1
2020-03-23,3
2020-03-24,2
2020-03-28,3
2020-03-30,4
2020-03-31,5
2020-04-01,3
2020-04-02,3
2020-04-03,1
2020-04-04,9
2020-04-05,6
2020-04-06,7
2020-04-07,3
2020-04-08,5
2020-04-09,3
2020-04-10,3
2020-04-11,4
2020-04-12,3
2020-04-13,6
2020-04-14,10
2020-04-15,4
2020-04-16,3
2020-04-17,5
2020-04-19,1
2020-04-20,2
2020-04-21,3
2020-04-22,3
2020-04-23,6
2020-04-24,2
2020-04-25,2
2020-04-26,2
2020-04-27,6
2020-04-28,2
2020-04-29,4
2020-04-30,2
2020-05-01,1
