"dt_notific","n.notific"
2020-01-04,1
2020-01-13,3
2020-01-15,2
2020-01-16,1
2020-01-19,1
2020-01-28,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-07,1
2020-02-11,3
2020-02-20,1
2020-02-26,1
2020-03-05,1
2020-03-11,1
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,1
2020-03-16,2
2020-03-17,2
2020-03-19,1
2020-03-20,2
2020-03-22,1
2020-03-23,8
2020-03-24,2
2020-03-25,4
2020-03-26,5
2020-03-27,1
2020-03-28,2
2020-03-29,2
2020-03-31,5
2020-04-01,5
2020-04-02,2
2020-04-03,4
2020-04-04,3
2020-04-05,7
2020-04-06,4
2020-04-07,5
2020-04-08,8
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-13,3
2020-04-14,4
2020-04-15,4
2020-04-16,2
2020-04-17,1
2020-04-19,2
2020-04-20,4
2020-04-21,2
2020-04-22,5
2020-04-23,2
2020-04-24,1
2020-04-25,1
2020-04-26,1
2020-04-27,5
2020-04-28,5
2020-04-29,8
2020-04-30,2
2020-05-01,1
2020-05-04,1
