"dt_notific","n.notific"
2019-12-31,1
2020-01-02,3
2020-01-04,1
2020-01-06,5
2020-01-07,1
2020-01-09,1
2020-01-10,3
2020-01-12,1
2020-01-13,7
2020-01-14,1
2020-01-15,4
2020-01-16,2
2020-01-17,2
2020-01-19,2
2020-01-20,6
2020-01-21,1
2020-01-23,2
2020-01-27,3
2020-01-28,1
2020-01-29,3
2020-01-30,2
2020-01-31,2
2020-02-01,1
2020-02-02,2
2020-02-05,3
2020-02-06,1
2020-02-07,3
2020-02-09,1
2020-02-10,3
2020-02-11,4
2020-02-12,2
2020-02-14,2
2020-02-15,1
2020-02-17,5
2020-02-19,3
2020-02-20,6
2020-02-21,5
2020-02-23,1
2020-02-26,2
2020-02-28,4
2020-03-01,1
2020-03-02,6
2020-03-03,3
2020-03-04,3
2020-03-05,5
2020-03-06,4
2020-03-08,3
2020-03-09,10
2020-03-10,1
2020-03-11,7
2020-03-12,13
2020-03-13,10
2020-03-14,9
2020-03-15,3
2020-03-16,25
2020-03-17,16
2020-03-18,19
2020-03-19,19
2020-03-20,21
2020-03-21,7
2020-03-22,11
2020-03-23,48
2020-03-24,23
2020-03-25,21
2020-03-26,21
2020-03-27,20
2020-03-28,16
2020-03-29,10
2020-03-30,47
2020-03-31,25
2020-04-01,22
2020-04-02,19
2020-04-03,15
2020-04-04,24
2020-04-05,24
2020-04-06,41
2020-04-07,24
2020-04-08,34
2020-04-09,26
2020-04-10,12
2020-04-11,21
2020-04-12,22
2020-04-13,37
2020-04-14,45
2020-04-15,28
2020-04-16,34
2020-04-17,20
2020-04-18,11
2020-04-19,12
2020-04-20,30
2020-04-21,18
2020-04-22,42
2020-04-23,25
2020-04-24,24
2020-04-25,24
2020-04-26,9
2020-04-27,39
2020-04-28,31
2020-04-29,39
2020-04-30,31
2020-05-01,13
2020-05-02,6
2020-05-03,14
2020-05-04,6
