"estimate","lower","upper","onset_date","n.reported"
3,3,3,2020-03-20,3
3,3,4,2020-03-21,3
3,3,4,2020-03-22,3
4,4,5,2020-03-23,4
2,2,4,2020-03-24,2
5,5,7,2020-03-25,5
2,2,4,2020-03-26,2
4,4,6,2020-03-27,4
1,1,3,2020-03-28,1
2,2,4,2020-03-29,2
4,4,6,2020-03-30,4
3,3,5,2020-03-31,3
4,4,7,2020-04-01,4
5,5,8,2020-04-02,5
2,2,4,2020-04-03,2
3,3,6,2020-04-04,3
0,0,3,2020-04-05,NA
1,0,3,2020-04-06,NA
6,5,9,2020-04-07,5
4,3,7,2020-04-08,3
8,7,12,2020-04-09,7
3,2,7,2020-04-10,2
5,3,9,2020-04-11,3
7,5,11,2020-04-12,5
3,1,7,2020-04-13,1
3,1,7,2020-04-14,1
5,3,10,2020-04-15,3
3,0,8,2020-04-16,NA
4,1,9,2020-04-17,1
4,1,9,2020-04-18,1
3,0,9,2020-04-19,NA
6,2,13,2020-04-20,2
5,1,13,2020-04-21,1
5,2,14,2020-04-22,1
4,1,14,2020-04-23,NA
4,1,15,2020-04-24,NA
5,2,16,2020-04-25,1
4,1,16,2020-04-26,NA
4,1,16,2020-04-27,NA
4,1,16,2020-04-28,NA
