"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,1
4,4,4,2020-03-25,4
3,3,3,2020-03-26,3
2,2,2,2020-03-27,2
2,2,2,2020-03-28,2
4,4,6,2020-03-29,4
4,4,6,2020-03-30,4
2,2,4,2020-03-31,2
3,3,6,2020-04-01,3
3,3,6,2020-04-02,3
5,5,8,2020-04-03,5
3,3,6,2020-04-04,3
8,8,11,2020-04-05,8
4,3,7,2020-04-06,3
3,2,6,2020-04-07,2
7,6,10,2020-04-08,6
3,2,6,2020-04-09,2
6,5,10,2020-04-10,5
5,4,9,2020-04-11,4
4,3,8,2020-04-12,3
4,3,8,2020-04-13,3
5,3,8,2020-04-14,3
6,4,9,2020-04-15,4
3,1,7,2020-04-16,1
5,3,9,2020-04-17,3
5,3,10,2020-04-18,3
6,4,11,2020-04-19,4
5,2,9,2020-04-20,2
4,1,9,2020-04-21,1
7,4,12,2020-04-22,4
5,2,11,2020-04-23,2
4,0,9,2020-04-24,NA
7,4,13,2020-04-25,3
7,3,13,2020-04-26,2
10,6,17,2020-04-27,5
9,4,16,2020-04-28,3
9,4,17,2020-04-29,3
7,2,15,2020-04-30,1
6,1,15,2020-05-01,NA
7,1,16,2020-05-02,NA
