"dt_evoluca","n.casos"
2020-02-25,1
2020-03-06,1
2020-03-07,1
2020-03-11,1
2020-03-12,1
2020-03-15,1
2020-03-16,2
2020-03-17,1
2020-03-18,1
2020-03-19,3
2020-03-20,2
2020-03-22,2
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-02,1
2020-04-05,2
2020-04-07,5
2020-04-08,1
2020-04-09,1
2020-04-12,3
2020-04-14,1
2020-04-15,1
2020-04-16,1
2020-04-17,1
2020-04-18,4
2020-04-19,1
2020-04-20,1
2020-04-21,2
2020-04-22,5
2020-04-23,1
2020-04-24,1
2020-04-25,3
2020-04-26,1
2020-04-27,2
2020-04-28,2
2020-04-29,2
2020-04-30,1
