"dt_sin_pri","n.casos"
2019-12-30,1
2020-01-02,1
2020-01-03,1
2020-01-05,1
2020-01-07,1
2020-01-14,1
2020-01-15,1
2020-01-17,3
2020-01-18,1
2020-01-20,2
2020-01-21,2
2020-01-23,1
2020-01-25,2
2020-01-26,2
2020-01-29,2
2020-01-30,1
2020-01-31,2
2020-02-01,2
2020-02-02,1
2020-02-03,4
2020-02-05,5
2020-02-06,3
2020-02-07,10
2020-02-08,4
2020-02-09,6
2020-02-11,5
2020-02-12,5
2020-02-13,12
2020-02-14,5
2020-02-15,6
2020-02-16,7
2020-02-17,7
2020-02-18,10
2020-02-19,8
2020-02-20,11
2020-02-21,16
2020-02-22,16
2020-02-23,11
2020-02-24,12
2020-02-25,8
2020-02-26,5
2020-02-27,15
2020-02-28,10
2020-02-29,14
2020-03-01,18
2020-03-02,10
2020-03-03,10
2020-03-04,11
2020-03-05,20
2020-03-06,7
2020-03-07,9
2020-03-08,8
2020-03-09,15
2020-03-10,29
2020-03-11,20
2020-03-12,20
2020-03-13,14
2020-03-14,15
2020-03-15,21
2020-03-16,8
2020-03-17,11
2020-03-18,24
2020-03-19,22
2020-03-20,33
2020-03-21,19
2020-03-22,23
2020-03-23,23
2020-03-24,17
2020-03-25,25
2020-03-26,10
2020-03-27,17
2020-03-28,16
2020-03-29,19
2020-03-30,18
2020-03-31,8
2020-04-01,15
2020-04-02,18
2020-04-03,21
2020-04-04,21
2020-04-05,21
2020-04-06,23
2020-04-07,31
2020-04-08,22
2020-04-09,18
2020-04-10,28
2020-04-11,18
2020-04-12,26
2020-04-13,18
2020-04-14,7
2020-04-15,9
2020-04-16,10
2020-04-17,12
2020-04-18,16
2020-04-19,16
2020-04-20,11
2020-04-21,3
2020-04-22,9
2020-04-23,6
2020-04-24,6
2020-04-25,3
2020-04-26,6
2020-04-27,4
2020-04-28,2
2020-04-29,2
2020-05-02,1
