"dt_notific","n.notific"
2020-02-05,1
2020-02-17,1
2020-02-19,1
2020-02-28,1
2020-03-01,1
2020-03-04,1
2020-03-09,2
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,2
2020-03-20,2
2020-03-22,1
2020-03-23,1
2020-03-25,1
2020-03-27,2
2020-03-29,1
2020-03-30,1
2020-03-31,2
2020-04-03,1
2020-04-04,1
2020-04-05,2
2020-04-06,1
2020-04-07,2
2020-04-11,1
2020-04-12,1
2020-04-13,1
2020-04-14,2
2020-04-15,2
2020-04-16,2
2020-04-19,2
2020-04-20,1
2020-04-22,9
2020-04-23,3
2020-04-24,3
2020-04-25,1
2020-04-27,2
2020-04-28,1
2020-04-29,2
