"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-18,NA
0,0,0,2020-03-19,NA
2,2,2,2020-03-20,1
1,1,2,2020-03-21,NA
0,0,1,2020-03-22,2
0,0,1,2020-03-23,1
0,0,1,2020-03-24,NA
0,0,2,2020-03-25,NA
0,0,2,2020-03-26,NA
1,1,3,2020-03-27,NA
0,0,2,2020-03-28,NA
1,1,4,2020-03-29,1
2,2,5,2020-03-30,NA
0,0,3,2020-03-31,1
0,0,3,2020-04-01,2
0,0,3,2020-04-02,NA
0,0,4,2020-04-03,NA
3,2,7,2020-04-04,NA
2,1,6,2020-04-05,NA
5,4,12,2020-04-06,2
3,2,9,2020-04-07,1
2,1,7,2020-04-08,4
1,0,5,2020-04-09,2
1,0,5,2020-04-10,1
1,0,5,2020-04-11,NA
2,1,7,2020-04-12,NA
1,0,7,2020-04-13,NA
3,1,10,2020-04-14,1
3,1,11,2020-04-15,NA
4,2,14,2020-04-16,1
1,0,9,2020-04-17,1
1,0,8,2020-04-18,2
1,0,9,2020-04-19,NA
1,0,8,2020-04-20,NA
1,0,9,2020-04-21,NA
1,0,11,2020-04-22,NA
1,0,11,2020-04-23,NA
1,0,13,2020-04-24,NA
1,0,15,2020-04-25,NA
1,0,17,2020-04-26,NA
