"estimate","lower","upper","onset_date","n.reported"
23,23,23,2020-03-22,23
23,23,23,2020-03-23,23
17,17,18,2020-03-24,17
25,25,27,2020-03-25,25
10,10,11,2020-03-26,10
17,17,19,2020-03-27,17
15,15,18,2020-03-28,15
20,19,22,2020-03-29,19
19,18,21,2020-03-30,18
9,8,12,2020-03-31,8
17,15,21,2020-04-01,15
21,18,25,2020-04-02,18
24,21,29,2020-04-03,21
25,22,30,2020-04-04,21
25,21,30,2020-04-05,20
28,23,34,2020-04-06,22
38,33,45,2020-04-07,31
29,24,37,2020-04-08,22
26,21,33,2020-04-09,18
34,29,43,2020-04-10,25
27,21,35,2020-04-11,17
37,31,46,2020-04-12,26
27,21,36,2020-04-13,17
16,10,24,2020-04-14,6
19,12,27,2020-04-15,8
23,16,33,2020-04-16,10
27,20,38,2020-04-17,12
33,24,45,2020-04-18,14
36,26,51,2020-04-19,15
32,21,46,2020-04-20,9
26,14,41,2020-04-21,2
34,21,52,2020-04-22,7
35,22,56,2020-04-23,6
36,22,59,2020-04-24,6
30,15,52,2020-04-25,NA
33,16,59,2020-04-26,2
31,14,59,2020-04-27,NA
31,13,63,2020-04-28,NA
33,14,69,2020-04-29,1
32,12,72,2020-04-30,NA
