"dt_evoluca","n.casos"
2020-01-06,1
2020-01-10,1
2020-01-11,1
2020-01-14,1
2020-01-17,1
2020-01-18,1
2020-01-19,1
2020-01-26,1
2020-01-28,1
2020-01-29,4
2020-01-31,2
2020-02-01,1
2020-02-02,1
2020-02-05,1
2020-02-06,3
2020-02-08,1
2020-02-11,1
2020-02-14,1
2020-02-18,2
2020-02-19,1
2020-02-22,2
2020-02-23,1
2020-02-24,1
2020-02-25,2
2020-03-02,1
2020-03-04,1
2020-03-05,3
2020-03-07,2
2020-03-08,2
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-18,2
2020-03-19,2
2020-03-21,10
2020-03-22,9
2020-03-23,13
2020-03-24,15
2020-03-25,8
2020-03-26,23
2020-03-27,13
2020-03-28,15
2020-03-29,20
2020-03-30,18
2020-03-31,23
2020-04-01,24
2020-04-02,20
2020-04-03,18
2020-04-04,15
2020-04-05,21
2020-04-06,23
2020-04-07,26
2020-04-08,23
2020-04-09,22
2020-04-10,17
2020-04-11,16
2020-04-12,17
2020-04-13,26
2020-04-14,17
2020-04-15,25
2020-04-16,23
2020-04-17,14
2020-04-18,13
2020-04-19,20
2020-04-20,21
2020-04-21,23
2020-04-22,18
2020-04-23,19
2020-04-24,18
2020-04-25,10
2020-04-26,20
2020-04-27,24
2020-04-28,13
2020-04-29,15
2020-04-30,14
2020-05-01,5
2020-05-02,10
2020-05-03,3
2020-05-04,1
