"dt_sin_pri","n.casos"
2020-02-28,1
2020-02-29,1
2020-03-03,1
2020-03-07,1
2020-03-08,2
2020-03-10,2
2020-03-11,2
2020-03-12,5
2020-03-13,4
2020-03-14,1
2020-03-15,6
2020-03-16,5
2020-03-17,10
2020-03-18,14
2020-03-19,5
2020-03-20,11
2020-03-21,9
2020-03-22,11
2020-03-23,14
2020-03-24,15
2020-03-25,13
2020-03-26,12
2020-03-27,11
2020-03-28,12
2020-03-29,8
2020-03-30,8
2020-03-31,7
2020-04-01,13
2020-04-02,8
2020-04-03,14
2020-04-04,9
2020-04-05,5
2020-04-06,15
2020-04-07,10
2020-04-08,10
2020-04-09,10
2020-04-10,10
2020-04-11,8
2020-04-12,13
2020-04-13,4
2020-04-14,6
2020-04-15,6
2020-04-16,5
2020-04-17,5
2020-04-18,7
2020-04-19,8
2020-04-20,4
2020-04-21,2
2020-04-22,2
2020-04-23,3
2020-04-24,2
2020-04-25,3
2020-04-26,4
