"dt_sin_pri","n.casos"
2019-12-29,4
2019-12-30,2
2019-12-31,7
2020-01-01,16
2020-01-02,3
2020-01-03,8
2020-01-04,4
2020-01-05,5
2020-01-06,5
2020-01-07,5
2020-01-08,7
2020-01-09,6
2020-01-10,7
2020-01-11,5
2020-01-12,8
2020-01-13,6
2020-01-14,10
2020-01-15,9
2020-01-16,6
2020-01-17,4
2020-01-18,7
2020-01-19,4
2020-01-20,7
2020-01-21,6
2020-01-22,6
2020-01-23,8
2020-01-24,10
2020-01-25,4
2020-01-26,6
2020-01-27,5
2020-01-28,8
2020-01-29,4
2020-01-30,7
2020-01-31,6
2020-02-01,7
2020-02-02,9
2020-02-03,3
2020-02-04,8
2020-02-05,7
2020-02-06,9
2020-02-07,2
2020-02-08,6
2020-02-09,3
2020-02-10,6
2020-02-11,7
2020-02-12,7
2020-02-13,11
2020-02-14,10
2020-02-15,8
2020-02-16,12
2020-02-17,9
2020-02-18,9
2020-02-19,8
2020-02-20,11
2020-02-21,8
2020-02-22,12
2020-02-23,10
2020-02-24,14
2020-02-25,22
2020-02-26,12
2020-02-27,16
2020-02-28,21
2020-02-29,13
2020-03-01,27
2020-03-02,23
2020-03-03,20
2020-03-04,17
2020-03-05,20
2020-03-06,24
2020-03-07,23
2020-03-08,35
2020-03-09,44
2020-03-10,50
2020-03-11,40
2020-03-12,72
2020-03-13,94
2020-03-14,88
2020-03-15,108
2020-03-16,154
2020-03-17,133
2020-03-18,167
2020-03-19,141
2020-03-20,174
2020-03-21,158
2020-03-22,147
2020-03-23,192
2020-03-24,148
2020-03-25,165
2020-03-26,147
2020-03-27,150
2020-03-28,138
2020-03-29,144
2020-03-30,136
2020-03-31,141
2020-04-01,178
2020-04-02,118
2020-04-03,156
2020-04-04,130
2020-04-05,127
2020-04-06,124
2020-04-07,124
2020-04-08,126
2020-04-09,118
2020-04-10,142
2020-04-11,101
2020-04-12,128
2020-04-13,113
2020-04-14,134
2020-04-15,123
2020-04-16,109
2020-04-17,105
2020-04-18,108
2020-04-19,114
2020-04-20,150
2020-04-21,86
2020-04-22,102
2020-04-23,97
2020-04-24,93
2020-04-25,77
2020-04-26,57
2020-04-27,60
2020-04-28,56
2020-04-29,39
2020-04-30,22
2020-05-01,17
2020-05-02,9
2020-05-03,4
