"dt_notific","n.notific"
2020-03-09,1
2020-03-16,1
2020-03-17,6
2020-03-18,6
2020-03-19,1
2020-03-20,3
2020-03-21,3
2020-03-22,4
2020-03-23,8
2020-03-24,5
2020-03-25,6
2020-03-26,13
2020-03-27,11
2020-03-28,19
2020-03-29,15
2020-03-30,12
2020-03-31,17
2020-04-01,11
2020-04-02,13
2020-04-03,10
2020-04-04,6
2020-04-05,6
2020-04-06,11
2020-04-07,15
2020-04-08,13
2020-04-09,13
2020-04-10,6
2020-04-11,6
2020-04-12,2
2020-04-13,17
2020-04-14,11
2020-04-15,12
2020-04-16,15
2020-04-17,6
2020-04-18,4
2020-04-19,11
2020-04-20,9
2020-04-21,5
2020-04-22,9
2020-04-23,3
2020-04-24,6
2020-04-25,6
2020-04-26,6
2020-04-27,8
2020-04-28,2
2020-04-29,3
2020-04-30,1
