"dt_notific","n.notific"
2019-12-30,1
2019-12-31,2
2020-01-01,2
2020-01-02,2
2020-01-03,1
2020-01-05,1
2020-01-06,14
2020-01-07,3
2020-01-08,3
2020-01-09,1
2020-01-10,6
2020-01-11,3
2020-01-12,1
2020-01-13,11
2020-01-14,10
2020-01-15,4
2020-01-16,7
2020-01-17,6
2020-01-18,3
2020-01-19,1
2020-01-20,15
2020-01-21,3
2020-01-22,11
2020-01-23,9
2020-01-24,4
2020-01-26,1
2020-01-27,13
2020-01-28,13
2020-01-29,7
2020-01-30,4
2020-01-31,7
2020-02-01,2
2020-02-03,17
2020-02-04,7
2020-02-05,3
2020-02-06,6
2020-02-07,5
2020-02-10,10
2020-02-11,5
2020-02-12,6
2020-02-13,7
2020-02-14,5
2020-02-15,2
2020-02-16,1
2020-02-17,20
2020-02-18,7
2020-02-19,7
2020-02-20,5
2020-02-21,8
2020-02-22,2
2020-02-23,4
2020-02-24,15
2020-02-25,4
2020-02-26,16
2020-02-27,29
2020-02-28,21
2020-02-29,6
2020-03-01,7
2020-03-02,22
2020-03-03,17
2020-03-04,11
2020-03-05,11
2020-03-06,8
2020-03-07,9
2020-03-08,4
2020-03-09,27
2020-03-10,26
2020-03-11,22
2020-03-12,21
2020-03-13,16
2020-03-14,14
2020-03-15,21
2020-03-16,68
2020-03-17,65
2020-03-18,111
2020-03-19,113
2020-03-20,106
2020-03-21,103
2020-03-22,120
2020-03-23,236
2020-03-24,200
2020-03-25,142
2020-03-26,198
2020-03-27,148
2020-03-28,138
2020-03-29,113
2020-03-30,196
2020-03-31,160
2020-04-01,176
2020-04-02,170
2020-04-03,154
2020-04-04,98
2020-04-05,114
2020-04-06,179
2020-04-07,169
2020-04-08,167
2020-04-09,122
2020-04-10,109
2020-04-11,101
2020-04-12,93
2020-04-13,140
2020-04-14,160
2020-04-15,170
2020-04-16,163
2020-04-17,130
2020-04-18,83
2020-04-19,94
2020-04-20,122
2020-04-21,92
2020-04-22,143
2020-04-23,151
2020-04-24,149
2020-04-25,86
2020-04-26,105
2020-04-27,142
2020-04-28,136
2020-04-29,108
2020-04-30,74
2020-05-01,45
2020-05-02,28
2020-05-03,38
2020-05-04,9
