"estimate","lower","upper","onset_date","n.reported"
5,5,5,2020-03-16,5
10,10,12,2020-03-17,10
14,14,16,2020-03-18,14
5,5,8,2020-03-19,5
10,10,13,2020-03-20,10
9,9,12,2020-03-21,9
11,11,14,2020-03-22,11
14,14,18,2020-03-23,14
15,14,18,2020-03-24,14
13,12,17,2020-03-25,12
13,12,17,2020-03-26,12
13,11,17,2020-03-27,11
14,12,18,2020-03-28,12
10,8,14,2020-03-29,8
9,7,14,2020-03-30,7
10,7,15,2020-03-31,7
14,11,20,2020-04-01,11
12,8,17,2020-04-02,8
17,14,23,2020-04-03,13
14,10,20,2020-04-04,9
10,6,17,2020-04-05,5
21,16,28,2020-04-06,15
15,10,22,2020-04-07,8
15,10,23,2020-04-08,8
17,12,26,2020-04-09,9
16,10,25,2020-04-10,7
14,8,24,2020-04-11,4
18,11,28,2020-04-12,7
15,8,25,2020-04-13,3
14,7,26,2020-04-14,2
16,8,28,2020-04-15,2
18,9,31,2020-04-16,3
18,9,34,2020-04-17,2
21,11,39,2020-04-18,4
21,11,41,2020-04-19,3
18,8,39,2020-04-20,NA
18,8,40,2020-04-21,NA
18,7,42,2020-04-22,NA
18,7,44,2020-04-23,NA
18,7,45.0249999999996,2020-04-24,NA
